id,source_entity_id,target_entity_id,type,confidence,timestamp,properties
R000555,P058,P067,SUSPECTED_ASSOCIATE,0.96,2026-06-24T06:54:47,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000556,P426,V137,TRAVELED_IN,0.64,2026-06-08T16:48:34,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000557,P051,LOC049,WORKS_AT,0.57,2025-01-10T22:03:34,"{""role"": ""Consultant"", ""source_type"": ""employment_record""}"
R000558,P328,P352,MESSAGED,0.64,2026-08-06T16:27:44,"{""message_count"": 139, ""source_type"": ""communication_record""}"
R000559,P325,P308,CALLED,0.75,2026-04-17T17:40:29,"{""duration_seconds"": 3278, ""source_type"": ""call_record"", ""verified"": false}"
R000560,P190,PH176,MESSAGED,0.65,2025-02-06T11:46:06,"{""message_count"": 142, ""source_type"": ""communication_record""}"
R000561,P413,P223,FAMILY,0.81,2026-08-01T15:00:46,"{""relationship_note"": ""Partner relation recorded"", ""source_type"": ""public_record""}"
R000562,P299,V050,TRAVELED_IN,0.64,2026-03-01T13:38:40,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000563,P004,P006,CALLED,0.91,2025-01-13T22:43:47,"{""duration_seconds"": 38, ""source_type"": ""call_record"", ""verified"": false}"
R000564,P158,P196,MET,0.82,2025-05-01T05:47:14,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": false}"
R000565,P453,P468,PARTNER,0.77,2026-07-04T16:08:25,"{""relationship_note"": ""Partner relation recorded"", ""source_type"": ""public_record""}"
R000566,P158,P200,ASSOCIATED,0.73,2025-06-21T19:25:51,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000567,P029,P070,SUSPECTED_ASSOCIATE,0.62,2026-08-08T04:47:21,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000568,P455,PH175,USED_PHONE,0.93,2026-04-28T10:44:02,"{""observation"": ""Device usage recorded"", ""source_type"": ""telecom_record""}"
R000569,P350,P342,EMPLOYED_WITH,0.68,2025-03-30T01:26:42,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000570,P021,LOC084,RESIDES_AT,0.59,2025-12-13T01:46:57,"{""since"": ""2026-02-04"", ""source_type"": ""registration_record""}"
R000571,P367,P372,MESSAGED,0.83,2025-03-16T12:45:27,"{""message_count"": 55, ""source_type"": ""communication_record""}"
R000572,P109,ORG090,WORKS_FOR,0.93,2025-11-26T11:50:14,"{""role"": ""Contractor"", ""source_type"": ""employment_record""}"
R000573,P013,PH184,USED_PHONE,0.66,2025-02-26T00:25:24,"{""observation"": ""Device usage recorded"", ""source_type"": ""telecom_record""}"
R000574,P280,P284,MESSAGED,0.7,2025-02-12T03:37:48,"{""message_count"": 116, ""source_type"": ""communication_record""}"
R000575,P005,PH173,CALLED,0.56,2025-12-03T08:10:18,"{""duration_seconds"": 39, ""source_type"": ""call_record"", ""verified"": true}"
R000576,P333,V019,OWNS_VEHICLE,0.68,2026-03-31T20:31:28,"{""registration_status"": ""active"", ""source_type"": ""vehicle_registry""}"
R000577,P040,P041,SUSPECTED_ASSOCIATE,0.9,2025-08-14T02:56:44,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000578,P360,P369,TRAVELED_WITH,0.81,2025-05-02T10:04:50,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000579,P453,P469,SUSPECTED_ASSOCIATE,0.52,2026-07-21T11:35:43,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000580,P038,P050,TRAVELED_WITH,0.67,2025-11-03T02:12:55,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000581,P021,P041,TRAVELED_WITH,0.91,2026-05-17T17:02:09,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000582,P408,P446,SUSPECTED_ASSOCIATE,0.73,2025-05-21T20:45:28,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000583,P389,P051,SUSPECTED_ASSOCIATE,0.78,2025-08-14T18:09:30,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000584,P320,ACC061,TRANSFERRED_TO,0.55,2025-10-05T09:32:29,"{""amount"": 325304, ""currency"": ""INR"", ""transaction_type"": ""bank_transfer""}"
R000585,P224,ORG079,VISITED_ORG,0.82,2025-09-04T19:57:33,"{""duration_minutes"": 182, ""source_type"": ""location_record""}"
R000586,P153,P151,LOCATED_WITH,0.88,2026-03-16T06:39:12,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000587,P133,V093,USED_VEHICLE,0.57,2026-05-13T18:05:46,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000588,P224,V079,USED_VEHICLE,0.74,2026-01-08T18:59:25,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000589,P301,P133,LOCATED_WITH,0.57,2026-05-17T09:57:14,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000590,P270,P273,SUSPECTED_ASSOCIATE,0.92,2025-07-24T11:02:58,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000591,P367,PH055,MESSAGED,0.94,2026-03-28T23:13:29,"{""message_count"": 142, ""source_type"": ""communication_record""}"
R000592,P082,P095,MEMBER_OF,0.64,2026-02-24T04:18:38,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000593,P246,P245,CALLED,0.87,2026-02-01T10:46:09,"{""duration_seconds"": 589, ""source_type"": ""call_record"", ""verified"": false}"
R000594,P465,P467,LOCATED_WITH,0.52,2026-03-16T21:39:51,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000595,P124,V060,OWNS_VEHICLE,0.52,2025-06-30T00:07:53,"{""registration_status"": ""active"", ""source_type"": ""vehicle_registry""}"
R000596,P224,P246,EMPLOYED_WITH,0.84,2025-10-08T14:12:48,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000597,P280,P289,FAMILY,0.82,2025-08-01T10:19:19,"{""relationship_note"": ""Family relation recorded"", ""source_type"": ""public_record""}"
R000598,P175,P230,ASSOCIATED,0.8,2025-10-20T07:16:36,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000599,P029,P033,MEMBER_OF,0.58,2025-04-18T22:33:25,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000600,P215,PH085,USED_PHONE,0.85,2025-04-02T21:50:06,"{""observation"": ""Device usage recorded"", ""source_type"": ""telecom_record""}"
R000601,P094,P076,MEMBER_OF,0.56,2026-01-07T21:45:06,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000602,P422,P406,SUSPECTED_ASSOCIATE,0.59,2025-04-15T15:26:17,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000603,P415,ACC187,OWNS_ACCOUNT,0.82,2026-04-11T12:50:02,"{""account_status"": ""active"", ""source_type"": ""financial_registry""}"
R000604,P493,P099,ASSOCIATED,0.79,2025-03-08T14:28:04,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000605,P302,LOC066,LOCATED_AT,0.63,2026-08-20T03:03:09,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000606,P294,V018,USED_VEHICLE,0.61,2025-09-24T03:51:19,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000607,P413,P415,MET,0.8,2025-03-26T07:53:37,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000608,P415,ORG069,WORKS_FOR,0.75,2026-04-11T21:20:22,"{""role"": ""Consultant"", ""source_type"": ""employment_record""}"
R000609,P272,P300,MESSAGED,0.71,2026-05-28T03:58:09,"{""message_count"": 108, ""source_type"": ""communication_record""}"
R000610,P447,P438,TRAVELED_WITH,0.89,2025-02-03T17:44:53,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000611,P217,ORG033,WORKS_FOR,0.73,2026-06-26T03:34:15,"{""role"": ""Manager"", ""source_type"": ""employment_record""}"
R000612,P296,ORG070,ASSOCIATED_WITH,0.7,2025-03-07T02:28:22,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000613,P060,P072,MET,0.89,2026-07-05T19:29:32,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": false}"
R000614,P120,P119,SUSPECTED_ASSOCIATE,0.64,2025-11-27T22:33:00,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000615,P215,PH143,USED_PHONE,0.74,2026-08-10T09:41:46,"{""observation"": ""Device usage recorded"", ""source_type"": ""telecom_record""}"
R000616,P143,P149,MEMBER_OF,0.82,2026-08-17T08:08:30,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000617,P453,V026,TRAVELED_IN,0.61,2025-12-13T21:07:54,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000618,P328,P363,TRAVELED_WITH,0.5,2025-09-20T20:56:19,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000619,P217,P208,MEMBER_OF,0.8,2025-04-23T21:07:06,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000620,P318,V074,TRAVELED_IN,0.85,2025-11-08T04:33:41,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000621,P218,P223,MESSAGED,0.75,2026-08-24T21:06:24,"{""message_count"": 50, ""source_type"": ""communication_record""}"
R000622,P113,P102,TRAVELED_WITH,0.82,2026-04-11T15:46:04,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000623,P369,ACC091,RECEIVED_FROM,0.83,2025-03-09T10:52:02,"{""amount"": 213073, ""currency"": ""INR"", ""transaction_type"": ""cash_deposit""}"
R000624,P272,P268,CALLED,0.67,2026-07-27T09:17:15,"{""duration_seconds"": 3355, ""source_type"": ""call_record"", ""verified"": false}"
R000625,P284,P290,MEMBER_OF,0.77,2025-06-01T02:12:44,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000626,P453,P389,CALLED,0.84,2025-09-22T01:25:24,"{""duration_seconds"": 1559, ""source_type"": ""call_record"", ""verified"": false}"
R000627,P458,V118,USED_VEHICLE,0.83,2026-08-12T08:19:31,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000628,P059,ORG009,VISITED_ORG,0.69,2025-01-22T05:51:14,"{""duration_minutes"": 206, ""source_type"": ""location_record""}"
R000629,PH106,PH091,COMMUNICATED_WITH,0.75,2026-06-10T18:34:20,"{""contact_count"": 2, ""source_type"": ""telecom_record""}"
R000630,P135,V103,OWNS_VEHICLE,0.83,2025-07-24T13:11:38,"{""registration_status"": ""active"", ""source_type"": ""vehicle_registry""}"
R000631,P446,LOC061,WORKS_AT,0.65,2025-03-01T01:16:47,"{""role"": ""Manager"", ""source_type"": ""employment_record""}"
R000632,P453,ORG088,MEMBER_OF,0.96,2025-07-28T23:56:10,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000633,P113,P108,ASSOCIATED,0.62,2026-07-27T12:46:05,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000634,P063,PH021,OWNS_PHONE,0.83,2025-05-02T03:58:05,"{""registration_status"": ""active"", ""source_type"": ""telecom_registry""}"
R000635,P367,PH139,OWNS_PHONE,0.97,2026-04-22T18:33:51,"{""registration_status"": ""active"", ""source_type"": ""telecom_registry""}"
R000636,P152,LOC074,WORKS_AT,0.93,2025-10-16T07:36:17,"{""role"": ""Contractor"", ""source_type"": ""employment_record""}"
R000637,P112,P102,TRAVELED_WITH,0.71,2026-08-17T14:52:56,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000638,P196,ACC176,RECEIVED_FROM,0.88,2025-01-26T07:00:42,"{""amount"": 240202, ""currency"": ""INR"", ""transaction_type"": ""bank_transfer""}"
R000639,P328,PH004,CALLED,0.83,2025-12-24T08:20:14,"{""duration_seconds"": 1569, ""source_type"": ""call_record"", ""verified"": true}"
R000640,P122,P120,FAMILY,0.59,2026-04-21T23:00:41,"{""relationship_note"": ""Partner relation recorded"", ""source_type"": ""public_record""}"
R000641,P204,P220,PARTNER,0.78,2026-06-29T06:13:48,"{""relationship_note"": ""Family relation recorded"", ""source_type"": ""public_record""}"
R000642,P383,LOC072,TRAVELED_TO,0.71,2026-07-14T20:58:26,"{""mode"": ""rail"", ""source_type"": ""travel_record""}"
R000643,P004,P006,MESSAGED,0.92,2026-07-28T15:25:15,"{""message_count"": 133, ""source_type"": ""communication_record""}"
R000644,P280,P289,MEMBER_OF,0.58,2025-09-03T05:34:56,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000645,P051,P060,MEMBER_OF,0.77,2025-07-17T12:18:11,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000646,P008,ACC032,RECEIVED_FROM,0.67,2025-07-20T04:09:09,"{""amount"": 356798, ""currency"": ""INR"", ""transaction_type"": ""cash_deposit""}"
R000647,P478,P487,SUSPECTED_ASSOCIATE,0.74,2026-05-20T18:22:14,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000648,P299,V119,USED_VEHICLE,0.81,2025-03-02T21:37:19,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000649,P162,P170,SUSPECTED_ASSOCIATE,0.94,2025-05-11T03:50:03,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000650,P314,P321,ASSOCIATED,0.63,2025-09-24T21:38:36,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000651,P224,P226,LOCATED_WITH,0.61,2025-10-10T01:52:59,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000652,P200,P191,CALLED,0.51,2026-08-01T18:50:29,"{""duration_seconds"": 1641, ""source_type"": ""call_record"", ""verified"": true}"
R000653,P413,P410,MESSAGED,0.65,2026-04-26T02:15:34,"{""message_count"": 64, ""source_type"": ""communication_record""}"
R000654,P070,V135,TRAVELED_IN,0.91,2025-12-11T05:06:32,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000655,P158,P193,PARTNER,0.77,2026-05-31T09:27:08,"{""relationship_note"": ""Family relation recorded"", ""source_type"": ""public_record""}"
R000656,P288,ACC117,TRANSFERRED_TO,0.81,2026-06-26T20:37:58,"{""amount"": 333869, ""currency"": ""INR"", ""transaction_type"": ""upi_transfer""}"
R000657,P173,P153,TRAVELED_WITH,0.68,2026-05-12T17:40:14,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000658,P149,P130,MET,0.57,2025-08-24T19:00:33,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": false}"
R000659,P230,P240,MEMBER_OF,0.79,2026-06-19T04:57:40,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000660,P102,LOC072,TRAVELED_TO,0.71,2026-03-02T19:24:57,"{""mode"": ""road"", ""source_type"": ""travel_record""}"
R000661,P180,P214,SUSPECTED_ASSOCIATE,0.95,2026-08-04T22:28:45,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000662,P133,LOC096,TRAVELED_TO,0.76,2026-06-16T18:37:12,"{""mode"": ""rail"", ""source_type"": ""travel_record""}"
R000663,P113,P119,MESSAGED,0.8,2025-02-23T04:15:38,"{""message_count"": 70, ""source_type"": ""communication_record""}"
R000664,P158,V039,OWNS_VEHICLE,0.52,2026-01-18T03:28:13,"{""registration_status"": ""active"", ""source_type"": ""vehicle_registry""}"
R000665,P068,P051,CALLED,0.57,2025-05-25T10:07:40,"{""duration_seconds"": 2036, ""source_type"": ""call_record"", ""verified"": true}"
R000666,P229,P237,MEMBER_OF,0.87,2025-08-31T00:12:37,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000667,P074,P056,EMPLOYED_WITH,0.62,2025-07-26T23:59:12,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000668,P340,P341,CALLED,0.99,2025-01-10T19:10:11,"{""duration_seconds"": 830, ""source_type"": ""call_record"", ""verified"": false}"
R000669,P318,V054,TRAVELED_IN,0.73,2025-03-14T23:32:49,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000670,P091,PH187,CALLED,0.52,2025-08-31T10:08:24,"{""duration_seconds"": 2266, ""source_type"": ""call_record"", ""verified"": true}"
R000671,P419,P112,FAMILY,0.81,2026-05-11T22:52:32,"{""relationship_note"": ""Partner relation recorded"", ""source_type"": ""public_record""}"
R000672,P215,P213,LOCATED_WITH,0.97,2025-08-03T10:52:40,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000673,P087,P083,MEMBER_OF,0.54,2026-06-21T12:32:22,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000674,P024,PH166,OWNS_PHONE,0.58,2026-08-13T23:13:39,"{""registration_status"": ""active"", ""source_type"": ""telecom_registry""}"
R000675,P154,P172,MESSAGED,0.89,2025-03-25T09:55:32,"{""message_count"": 113, ""source_type"": ""communication_record""}"
R000676,P180,V035,TRAVELED_IN,0.62,2025-01-17T14:02:44,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000677,P272,P294,MEMBER_OF,0.67,2026-07-03T20:27:46,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000678,P434,V142,TRAVELED_IN,0.58,2025-08-02T20:25:11,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000679,P272,P300,FAMILY,0.69,2025-12-16T01:07:43,"{""relationship_note"": ""Family relation recorded"", ""source_type"": ""public_record""}"
R000680,P367,ORG031,ASSOCIATED_WITH,0.66,2026-04-27T08:41:25,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000681,P328,P331,EMPLOYED_WITH,0.66,2026-02-23T14:52:39,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000682,P259,PH018,OWNS_PHONE,0.52,2025-03-27T19:12:02,"{""registration_status"": ""active"", ""source_type"": ""telecom_registry""}"
R000683,P109,ACC125,OWNS_ACCOUNT,0.59,2025-05-19T18:04:06,"{""account_status"": ""active"", ""source_type"": ""financial_registry""}"
R000684,P280,P278,EMPLOYED_WITH,0.95,2025-02-14T20:40:11,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000685,P379,PH016,MESSAGED,0.68,2025-03-04T02:30:10,"{""message_count"": 107, ""source_type"": ""communication_record""}"
R000686,P390,LOC035,VISITED,0.76,2026-07-05T06:09:46,"{""duration_minutes"": 192, ""source_type"": ""location_record""}"
R000687,P457,P475,CALLED,0.69,2025-08-25T01:11:29,"{""duration_seconds"": 806, ""source_type"": ""call_record"", ""verified"": true}"
R000688,P215,P222,TRAVELED_WITH,0.83,2025-05-19T22:53:54,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000689,P099,V047,OWNS_VEHICLE,0.77,2025-11-28T17:15:17,"{""registration_status"": ""active"", ""source_type"": ""vehicle_registry""}"
R000690,P298,P426,MESSAGED,0.99,2026-05-26T17:16:57,"{""message_count"": 96, ""source_type"": ""communication_record""}"
R000691,P158,P193,EMPLOYED_WITH,0.88,2026-05-07T20:27:52,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000692,P458,ACC115,RECEIVED_FROM,0.97,2025-07-17T08:33:52,"{""amount"": 602, ""currency"": ""INR"", ""transaction_type"": ""bank_transfer""}"
R000693,ORG018,ORG039,TRANSACTION_WITH,0.5,2026-04-08T17:49:26,"{""amount"": 116832, ""currency"": ""INR"", ""transaction_type"": ""cash_deposit""}"
R000694,P439,LOC066,TRAVELED_TO,0.77,2025-01-17T20:32:34,"{""mode"": ""air"", ""source_type"": ""travel_record""}"
R000695,P082,P095,MEMBER_OF,0.63,2025-01-30T07:27:20,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000696,P112,P111,EMPLOYED_WITH,0.58,2026-03-20T02:39:05,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000697,P389,LOC013,WORKS_AT,0.79,2026-06-20T14:59:03,"{""role"": ""Staff"", ""source_type"": ""employment_record""}"
R000698,P044,P034,EMPLOYED_WITH,0.66,2026-03-24T14:42:24,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000699,P446,ORG016,VISITED_ORG,0.93,2025-12-04T08:01:14,"{""duration_minutes"": 63, ""source_type"": ""location_record""}"
R000700,P307,V098,OWNS_VEHICLE,0.53,2026-04-13T19:42:58,"{""registration_status"": ""active"", ""source_type"": ""vehicle_registry""}"
R000701,P158,P155,TRAVELED_WITH,0.86,2025-09-06T00:29:30,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000702,P044,P038,LOCATED_WITH,0.66,2025-12-13T02:53:19,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000703,P122,P114,MET,0.56,2026-08-02T21:40:45,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000704,P105,P125,EMPLOYED_WITH,0.62,2026-01-14T22:23:24,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000705,P285,P290,PARTNER,0.67,2026-05-03T21:08:55,"{""relationship_note"": ""Family relation recorded"", ""source_type"": ""public_record""}"
R000706,P302,V114,USED_VEHICLE,0.81,2025-05-12T11:08:48,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000707,P088,P078,ASSOCIATED,0.53,2025-07-01T08:33:41,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000708,P004,ACC178,RECEIVED_FROM,0.89,2025-04-25T16:54:00,"{""amount"": 160469, ""currency"": ""INR"", ""transaction_type"": ""upi_transfer""}"
R000709,P109,P110,ASSOCIATED,0.84,2026-03-30T01:07:35,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000710,P120,PH016,OWNS_PHONE,0.64,2025-10-20T12:27:25,"{""registration_status"": ""active"", ""source_type"": ""telecom_registry""}"
R000711,P021,LOC084,TRAVELED_TO,0.96,2026-04-25T23:41:54,"{""mode"": ""road"", ""source_type"": ""travel_record""}"
R000712,P318,P008,SUSPECTED_ASSOCIATE,0.82,2025-07-30T17:35:31,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000713,P051,P095,TRAVELED_WITH,0.59,2025-10-23T16:47:05,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000714,P010,P018,TRAVELED_WITH,0.74,2025-12-22T17:28:57,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000715,P328,V091,USED_VEHICLE,0.81,2025-01-15T06:28:59,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000716,P302,P422,FAMILY,0.51,2026-01-25T08:00:16,"{""relationship_note"": ""Partner relation recorded"", ""source_type"": ""public_record""}"
R000717,P041,P048,EMPLOYED_WITH,0.81,2025-09-23T11:21:20,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000718,P468,P158,LOCATED_WITH,0.6,2025-07-06T16:39:00,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000719,P413,P424,SUSPECTED_ASSOCIATE,0.95,2026-02-25T11:34:00,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000720,P280,P278,MESSAGED,0.96,2026-08-22T02:46:20,"{""message_count"": 31, ""source_type"": ""communication_record""}"
R000721,P415,P414,MET,0.87,2025-04-24T00:44:31,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": false}"
R000722,P413,P414,CALLED,0.8,2025-05-26T23:20:10,"{""duration_seconds"": 1108, ""source_type"": ""call_record"", ""verified"": true}"
R000723,P360,P364,SUSPECTED_ASSOCIATE,0.73,2025-06-29T08:31:07,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000724,P180,P234,MEMBER_OF,0.7,2026-03-08T20:36:01,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000725,P112,ACC172,TRANSACTION_WITH,0.98,2025-07-29T14:31:50,"{""amount"": 397793, ""currency"": ""INR"", ""transaction_type"": ""cash_deposit""}"
R000726,P158,P183,LOCATED_WITH,0.88,2025-12-08T04:52:10,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000727,P197,PH191,CALLED,0.78,2025-10-23T10:41:18,"{""duration_seconds"": 2211, ""source_type"": ""call_record"", ""verified"": true}"
R000728,P019,P259,MEMBER_OF,0.86,2025-12-17T18:36:46,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000729,P102,P111,SUSPECTED_ASSOCIATE,0.64,2026-02-05T21:17:55,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000730,P328,P229,LOCATED_WITH,0.54,2025-08-17T16:22:53,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000731,P333,P340,LOCATED_WITH,0.51,2025-05-20T15:10:53,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000732,P044,P047,ASSOCIATED,0.89,2026-07-08T12:28:04,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000733,P056,V116,OWNS_VEHICLE,0.81,2025-04-06T23:01:52,"{""registration_status"": ""active"", ""source_type"": ""vehicle_registry""}"
R000734,P473,P456,EMPLOYED_WITH,0.69,2026-07-04T08:38:18,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000735,P415,V039,TRAVELED_IN,0.58,2025-09-18T08:27:10,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000736,P146,P140,MET,0.59,2026-08-21T10:07:18,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": true}"
R000737,P052,P076,FAMILY,0.77,2026-08-18T12:00:43,"{""relationship_note"": ""Family relation recorded"", ""source_type"": ""public_record""}"
R000738,P112,PH169,USED_PHONE,0.73,2026-01-19T06:53:16,"{""observation"": ""Device usage recorded"", ""source_type"": ""telecom_record""}"
